Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xGp90,xAp90,xG+xA,npxGp90,npxG+xA,Matches
287,David McGoldrick,ie IRL,FW,Sheffield Utd,31,1987,21,16,"1,361",0,2,0,0,2,0,0,0.13,0.13,0,0.13,5.6,5.6,1.6,0.37,0.1,0.47,0.37,0.47,Matches
273,Anthony Martial,fr FRA,FW,Manchester Utd,23,1995,23,22,"1,885",11,3,0,1,1,0,0.53,0.14,0.67,0.53,0.67,8.2,7.4,2.3,0.39,0.11,0.5,0.35,0.46,Matches
281,Neal Maupay,fr FRA,FW,Brighton,22,1996,28,23,"2,114",8,2,1,1,3,0,0.34,0.09,0.43,0.3,0.38,9.4,8.6,1.9,0.4,0.08,0.48,0.37,0.45,Matches
392,Ismaila Sarr,sn SEN,"FW,MF",Watford,21,1998,19,13,"1,226",5,3,0,0,1,0,0.37,0.22,0.59,0.37,0.59,4.9,4.9,1.3,0.36,0.09,0.45,0.36,0.45,Matches
255,Shane Long,ie IRL,FW,Southampton,32,1987,19,13,"1,141",2,2,0,0,0,0,0.16,0.16,0.32,0.16,0.32,4.5,4.5,1.2,0.35,0.09,0.45,0.35,0.45,Matches
479,Callum Wilson,eng ENG,FW,Bournemouth,27,1992,28,26,"2,350",8,0,0,0,9,0,0.31,0,0.31,0.31,0.31,8.9,8.9,2.2,0.34,0.08,0.43,0.34,0.43,Matches
13,Dele Alli,eng ENG,"MF,FW",Tottenham,23,1996,22,20,"1,764",8,4,1,1,2,0,0.41,0.2,0.61,0.36,0.56,7,6.2,2.2,0.36,0.11,0.47,0.32,0.43,Matches
264,James Maddison,eng ENG,MF,Leicester City,22,1996,28,27,"2,404",6,3,0,0,4,0,0.22,0.11,0.34,0.22,0.34,4.4,4.4,6.8,0.16,0.25,0.42,0.16,0.42,Matches
347,Ayoze Pérez,es ESP,"MF,FW",Leicester City,26,1993,25,21,"1,594",7,4,1,1,0,0,0.4,0.23,0.62,0.34,0.56,5.1,4.3,3,0.29,0.17,0.46,0.24,0.41,Matches
226,Joshua King,no NOR,"FW,MF",Bournemouth,27,1992,19,17,"1,467",4,2,1,1,0,0,0.25,0.12,0.37,0.18,0.31,4.8,4,2.7,0.29,0.16,0.46,0.25,0.41,Matches
